Normalized Science,Normalized Reading,Normalized Math,Normalized Average Performance,Average Performance,Year,Math,Reading,Science,Country,Shortage of educational staff,Shortage of educational material
0.851478346,0.848181758,0.78415912,0.830725267,497.3786876,2022,487.0842535,498.0509398,507.0008694,AUS,-0.018705057,-0.68478907
0.750373976,0.74088229,0.785150669,0.764157847,486.3147684,2022,487.2674991,480.4058472,491.2709588,AUT,-0.080666667,-0.483942908
0.443603988,0.543694999,0.376233497,0.451844276,434.4063102,2022,411.6965707,447.9789574,443.5434025,CHL,0.223818222,-0.348514222
0.235206135,0.304627743,0.219314823,0.249813338,400.8275117,2022,382.6968352,408.6650264,411.1206733,COL,0.322886066,0.576495492
0.791967048,0.790733084,0.783698935,0.793038874,491.1149746,2022,486.999208,488.6036687,497.7420471,CZE,0.190723488,-0.133922791
0.766730435,0.791932996,0.796007255,0.790122127,490.6301931,2022,489.2738769,488.8009907,493.8157116,DNK,-0.384480935,-0.71094964
0.876918364,0.800547886,0.768223462,0.817046875,495.1052537,2022,484.1392257,490.2176849,510.9588507,FIN,0.221251724,-0.569027155
0.724370271,0.701029432,0.713058971,0.7161804,478.3406182,2022,473.9444183,473.8521579,487.2252785,FRA,0.61372844,-0.372242202
0.75780272,0.737161809,0.717831699,0.740297735,482.3490694,2022,474.8264539,479.7940247,492.4267295,DEU,0.435588265,-0.102564286
0.425881107,0.485692584,0.476065803,0.464186527,436.4576691,2022,430.1463218,438.4406251,440.7860604,GRC,0.41618565,0.634017937
0.715788755,0.695693785,0.706737276,0.709399972,477.2136689,2022,472.7761222,472.974726,485.8901584,HUN,0.359692952,0.292697797
0.465609975,0.470382921,0.631728883,0.529228449,447.2680411,2022,458.9140144,435.9229946,446.9671142,ISL,-0.156910833,-0.4936825
0.831197373,0.957390305,0.808855239,0.869568035,503.8345972,2022,491.6482796,516.0099751,503.845537,IRL,0.125813548,-0.638997419
0.579921623,0.700911099,0.626223975,0.63888553,465.4937301,2022,457.8966666,473.8326984,464.7518253,ISR,0.508043716,0.21381694
0.661625348,0.748133437,0.698530642,0.706752883,476.7737062,2022,471.2594753,481.5982777,477.4633657,ITA,0.43146192,-0.339329102
0.766904335,0.705386412,0.762921886,0.74937013,483.8569577,2022,483.1594551,474.5686509,493.8427671,LVA,0.332593846,0.282367692
0.706618271,0.688758452,0.7195649,0.709005666,477.1481328,2022,475.1467622,471.8342301,484.463406,LTU,-0.316215625,-0.290746181
0.227274088,0.345333436,0.28604961,0.285497811,406.7584931,2022,395.0299191,415.358962,409.8865982,MEX,0.117870968,0.466051613
0.731386283,0.612190865,0.81441432,0.726636343,480.078461,2022,492.675639,459.242908,488.3168361,NLD,0.421194915,-0.571799153
0.833021297,0.865221098,0.740816379,0.814521394,494.685503,2022,479.0741934,500.8530109,504.1293048,NZL,0.181342149,-0.414731405
