Normalized Reading,Normalized Science,Average Performance,Country Name,Population,Math,Normalized Math,Reading,Science,Year,Country,School Ownership,School Size,proportion of all teachers fully certified,Student-Teacher ratio,Available computers per student,Shortage of educational staff,Shortage of educational material,Student behavior hindering learning,Teacher behavior hindering learning,Class Size,Creative extra-curricular activities,EDU Exp. Per Person Absolute,ROUND GDP,GDP/POPULATION,Continent,Public Percentage,Private Government-dependent Percentage,Private Independent Percentage
0.319047772,0.218152996,392,Albania,2992547,390,0.305517324,390,396,2006,ALB,1.187845304,527.7734807,0.980496933,15.86355556,0.267707182,-0.007789944,0.685310526,0.852403867,0.508296133,27.76190476,0.074116022,87,8052077248,2655,Europe,0.906077348,0,0.093922652
0.267618286,0.193367882,384.3244681,Albania,2927519,384.8166024,0.283536172,377.4610564,390.6957455,2009,ALB,1.187845304,527.7734807,0.980496933,15.86355556,0.267707182,-0.007789944,0.685310526,0.852403867,0.508296133,27.76190476,0.074116022,122,10818250917,3638,Europe,0.906077348,0,0.093922652
0.336804881,0.224569591,395.2222662,Albania,2900401,393.964252,0.322328465,394.3293332,397.3732136,2012,ALB,2.856410256,321.7936508,0.952567708,10.84009962,0.341898305,-0.179498515,0.685310526,1.027633005,0.643354187,27.76190476,1.818681319,142,12408843466,4269,Europe,0.928205128,0,0.071794872
0.414028158,0.364057524,415.213588,Albania,2880703,405.2587601,0.370224906,413.1570211,427.2249827,2015,ALB,2.840707965,252.8666667,0.798213333,8.3424925,0.156470909,-0.046594714,0.685310526,-0.74492193,-0.654655022,25.65350877,1.75,148.6666667,12774735403,4424,Europe,0.920353982,0,0.079646018
0.51273257,0.315000282,419.7925384,Albania,2866376,405.4293663,0.370948393,437.2219913,416.7262577,2018,ALB,2.790769231,421.7936508,0.768495833,12.225236,0.251861468,-0.62417037,0.398416718,-1.210346626,-1.006065031,22.95384615,2.220496894,154,12089259719,4196.333333,Europe,0.895384615,0,0.104615385
0.229722403,0.124548593,367.5414097,Albania,2777689,358.4347582,0.171659103,368.2217199,375.9677509,2022,ALB,2.772893773,423.1368821,0.792498819,12.12111603,0.207241949,-0.543904044,0.576041758,-0.991760148,-0.936332472,25.76752768,2.220496894,185.75,15912887367,5549.25,Europe,0.886446886,0,0.113553114
0.252289511,0.195929245,382.0738615,Argentina,39476851,381.2539111,0.268427924,373.7237715,391.2439019,2006,ARG,2.682080925,560.375,0.894633333,12.05985156,0.037357576,-0.193033728,0.330759039,0.360449231,-0.266734872,30.79503106,-0.713969681,210.6666667,1.90268E+11,5015.5,South America,0.739884393,0.202312139,0.057803468
0.352930436,0.24076188,395.7225095,Argentina,40684338,388.0681283,0.297324867,398.2608799,400.8385202,2009,ARG,1.392857143,556.4974874,0.85104065,15.24503947,0.226763636,-0.087594898,0.330759039,0.360449231,-0.266734872,37.41704036,-0.713969681,333.3333333,2.93882E+11,7360,South America,0.719387755,0.168367347,0.112244898
0.343571625,0.263160328,396.6809459,Argentina,41733271,388.4317097,0.298866701,395.9791228,405.6320052,2012,ARG,2.613636364,538.990991,0.876648276,10.16218023,0.523953271,-0.082669369,0.330759039,0.247162319,-0.325677295,37.41704036,1.197309417,548.6666667,4.28921E+11,10420,South America,0.686363636,0.240909091,0.072727273
0.463846358,0.387426864,422.1875651,Argentina,43131966,409.0333278,0.386231656,425.3031194,432.226248,2015,ARG,2.613636364,538.990991,0.876648276,10.16218023,0.523953271,-0.082669369,0.330759039,0.247162319,-0.325677295,37.41704036,1.197309417,687.6666667,5.41442E+11,12775.66667,South America,0.705747126,0.204597701,0.089655172
0.3662287,0.25586832,395.0094569,Argentina,44494502,379.4538169,0.260794293,401.503109,404.0714449,2018,ARG,2.616091954,540.9086538,0.884034933,10.32625051,0.425432973,-0.05510254,0.330759039,0.190991156,0.472452608,34.94444444,1.342465753,766.3333333,5.98637E+11,13708.66667,South America,0.705747126,0.204597701,0.089655172
0.363115331,0.265773927,394.8214709,Argentina,46234830,377.5290285,0.252631873,400.7440435,406.1913406,2022,ARG,2.584615385,580.4123007,0.798037379,8.508604276,0.340521687,0.165732594,0.357886444,0.273679823,0.228855211,29.81818182,1.342465753,501.75,4.61554E+11,10291.25,South America,0.679120879,0.226373626,0.094505495
0.823104499,0.829712171,519.8935431,Australia,20450966,519.9077486,0.856415056,512.8932916,526.879589,2006,AUS,1.510086455,863.7191011,0.97756,13.39727606,0.264430986,0.377981356,-0.365342025,-0.062135411,-0.253610198,24.71428571,0.590312181,1379,5.5593E+11,28186,Oceania,0.625360231,0.239193084,0.135446686
0.831337863,0.831538933,518.8372172,Australia,21691653,514.3404625,0.832805954,514.9006553,527.2705339,2009,AUS,1.510086455,923.6147309,0.984298851,13.47964943,0.976047059,0.265978754,-0.365342025,-0.062135411,-0.253610198,24.64473684,0.590312181,1981.666667,8.86512E+11,42438.66667,Oceania,0.625360231,0.239193084,0.135446686
0.818636672,0.804550497,512.4831704,Australia,22733465,504.1507663,0.789594671,511.8039976,521.4947472,2012,AUS,2.517520216,888.0529101,0.979491713,13.09410988,1.575465054,0.2777481,-0.365342025,-0.252176042,-0.166017713,24.64473684,2.132198953,2746.666667,1.15878E+12,52538.66667,Oceania,0.632075472,0.253369272,0.114555256
0.782118505,0.75081044,502.2635484,Australia,23815995,493.8962313,0.746108427,502.9005598,509.9938542,2015,AUS,2.455384615,962.7118156,0.956061575,13.30431318,1.575395031,-0.267049387,-0.365342025,-0.051918712,0.308329141,24.79824561,2.285067873,3371.666667,1.53118E+12,66304.33333,Oceania,0.587692308,0.28,0.132307692
0.781015855,0.717964771,498.9854375,Australia,24963258,491.3600252,0.735353178,502.6317243,502.9645628,2018,AUS,2.490223464,994.2363897,0.94222305,13.22099733,1.229838154,-0.321210826,-0.476194302,0.095895415,0.337539112,24.37554585,2.417518248,2809.333333,1.29541E+12,53539,Oceania,0.62849162,0.233240223,0.138268156
