Entity,CodeYear,Population (historical estimates),ROUND GDP,GDP/POPULATION,EDU Exp. Per Person Absolute
Afghanistan,AFG2006,25442946,6971758282,274,13
Afghanistan,AFG2007,25903306,9747886187,376,16
Afghanistan,AFG2008,26427204,10109297048,383,17
Afghanistan,AFG2009,27385310,12416152732,453,22
Afghanistan,AFG2010,28189672,15856668556,562,20
Afghanistan,AFG2011,29249156,17805098206,609,21
Afghanistan,AFG2012,30466484,19907329778,653,17
Afghanistan,AFG2013,31541216,20146416758,639,22
Afghanistan,AFG2014,32716214,20497128556,627,23
Afghanistan,AFG2015,33753500,19134221645,567,18
Afghanistan,AFG2016,34636212,18116572395,523,24
Afghanistan,AFG2017,35643420,18753456498,526,23
Albania,ALB2005,3032636,8052077248,2655,87
Albania,ALB2006,3003391,8896075005,2962,95
Albania,ALB2007,2976089,10677324853,3588,118
Albania,ALB2008,2951690,12881352894,4364,153
Albania,ALB2010,2913402,11926926616,4094,140
Albania,ALB2011,2900660,12890760315,4444,144
Albania,ALB2012,2892191,12319834195,4260,141
Albania,ALB2013,2887019,12776224497,4425,157
Albania,ALB2014,2884100,13228147516,4587,148
Albania,ALB2015,2882482,11386853113,3950,136
Albania,ALB2016,2881064,11861199831,4117,163
Albania,ALB2017,2879361,13019726212,4522,163
Albania,ALB2018,2877019,15156424015,5268,166
Albania,ALB2019,2873883,15401826127,5359,210
Albania,ALB2020,2866850,15162734205,5289,177
Albania,ALB2021,2854710,17930565119,6281,190
Algeria,DZA2008,34569592,180383848331,5218,226
Algeria,DZA2012,37260568,227143746076,6096,466
Algeria,DZA2013,38000628,229701430292,6045,441
Algeria,DZA2014,38760168,238942664193,6165,451
Algeria,DZA2015,39543148,187493855609,4742,378
Algeria,DZA2016,40339328,180763839522,4481,329
Algeria,DZA2017,41136548,189880896903,4616,296
Algeria,DZA2018,41927008,194554483656,4640,293
Algeria,DZA2019,42705372,193459662091,4530,273
Algeria,DZA2020,43451668,164873415325,3794,267
Algeria,DZA2021,44177964,186265418571,4216,266
Andorra,AND2006,80241,3459337986,43112,968
Andorra,AND2007,78187,3957625367,50617,1065
Andorra,AND2008,76073,4102319399,53926,1550
Andorra,AND2009,73879,3688976341,49933,1569
Andorra,AND2010,71542,3449925739,48222,1435
Andorra,AND2011,70587,3629133574,51414,1536
Andorra,AND2012,71035,3188652765,44888,1152
Andorra,AND2013,71385,3193512950,44736,1121
Andorra,AND2014,71644,3271685597,45666,1404
Andorra,AND2015,71766,2789881259,38875,1275
Andorra,AND2016,72563,2896610480,39919,1292
Andorra,AND2017,73853,3000162081,40623,1307
Andorra,AND2018,75034,3218419897,42893,1393
Andorra,AND2019,76361,3155149348,41319,1302
Andorra,AND2020,77723,2891001149,37196,1062
Andorra,AND2021,79057,3324683012,42054,1087
Angola,AGO2000,16394067,9129594970,557,15
Angola,AGO2005,19450962,36970900884,1901,40
Angola,AGO2006,20162338,52381025141,2598,59
Angola,AGO2009,22507674,70307196182,3124,91
Angola,AGO2010,23364196,83799474070,3587,123
Angola,AGO2011,24259120,111789747671,4608,149
Angola,AGO2012,25188298,128052915766,5084,157
Angola,AGO2013,26147012,132339109040,5061,196
Angola,AGO2014,27128340,135966802587,5012,147
Angola,AGO2015,28127724,90496420507,3217,100
Angola,AGO2016,29154742,52761617226,1810,50
Angola,AGO2017,30208634,73690154991,2439,60
Angola,AGO2018,31273538,79450688259,2541,52
Angola,AGO2019,32353592,70897962732,2191,45
Angola,AGO2020,33428490,48501561204,1451,40
Angola,AGO2021,34503776,66505129988,1927,44
Antigua and Barbuda,ATG2002,77216,897988889,11630,395
Antigua and Barbuda,ATG2009,84546,1386444444,16399,411
Antigua and Barbuda,ATG2012,87688,1327107407,15134,357
Antigua and Barbuda,ATG2013,88512,1325425926,14975,396
Antigua and Barbuda,ATG2014,89252,1378829630,15449,393
Antigua and Barbuda,ATG2015,89958,1437755556,15983,424
Antigua and Barbuda,ATG2016,90575,1489692593,16447,478
Antigua and Barbuda,ATG2017,91133,1531151852,16801,482
Antigua and Barbuda,ATG2018,91644,1661529630,18130,503
Antigua and Barbuda,ATG2019,92127,1725351852,18728,647
Antigua and Barbuda,ATG2020,92672,1410796296,15224,456
Antigua and Barbuda,ATG2021,93229,1601366667,17177,442
Argentina,ARG2000,37070772,284203750000,7667,351
Argentina,ARG2001,37480492,268696750000,7169,347
Argentina,ARG2002,37885024,97724004252,2579,104
Argentina,ARG2003,38278164,127586973492,3333,118
Argentina,ARG2004,38668796,164657930453,4258,148
Argentina,ARG2005,39070504,198737095012,5087,196
Argentina,ARG2006,39476856,232557260817,5891,243
Argentina,ARG2007,39876116,287530508431,7211,322
Argentina,ARG2008,40273768,361558037110,8978,435
Argentina,ARG2009,40684344,332976484578,8184,453
Argentina,ARG2010,41100124,423627422092,10307,517
Argentina,ARG2011,41520736,530158122010,12769,676
Argentina,ARG2012,41952364,545982375701,13014,696
Argentina,ARG2013,42388268,552025140252,13023,708
Argentina,ARG2014,42824064,526319673732,12290,659
Argentina,ARG2015,43257064,594749285413,13749,794
Argentina,ARG2016,43668236,557532320663,12767,708
Argentina,ARG2017,44054616,643628393281,14610,797
Argentina,ARG2018,44413592,524819892360,11817,576
Argentina,ARG2019,44745516,447754683615,10007,478
Argentina,ARG2020,45036032,385740508437,8565,452
Argentina,ARG2021,45276788,487902572164,10776,501
Armenia,ARM2013,2901386,11121464437,3833,102
Armenia,ARM2017,2851929,11527458709,4042,109
Armenia,ARM2018,2836563,12457940695,4392,99
Armenia,ARM2019,2820604,13619290539,4829,124
Armenia,ARM2020,2805610,12641698583,4506,122
Armenia,ARM2021,2790971,13878908629,4973,138
Australia,AUS2000,19017968,416167815093,21883,1069
Australia,AUS2005,20171732,695692898677,34489,1689
Australia,AUS2006,20467032,748417562770,36567,1733
Australia,AUS2007,20830832,855007458585,41045,1910
Australia,AUS2008,21247876,1056112427190,49704,2302
Australia,AUS2009,21660898,928762122698,42877,2179
Australia,AUS2010,22019166,1148890200292,52177,2890
Australia,AUS2011,22357032,1398701323030,62562,3171
Australia,AUS2012,22729272,1547649835733,68091,3314
Australia,AUS2013,23111788,1577301840200,68247,3569
Australia,AUS2014,23469578,1468597690006,62575,3232
Australia,AUS2015,23820240,1351768945139,56749,3016
Australia,AUS2016,24195706,1207580901579,49909,2639
Australia,AUS2017,24590336,1326882104817,53959,2773
Australia,AUS2018,24979228,1429733668186,57237,2933
Australia,AUS2019,25357168,1394671325961,55001,2824
Australia,AUS2020,25670052,1330381544909,51826,2907
Australia,AUS2021,25921094,1559033756285,60145,3446
Austria,AUT2000,8010425,197289625480,24629,1376
Austria,AUT2001,8039633,197508773215,24567,1370
Austria,AUT2002,8078994,214394866675,26537,1465
Austria,AUT2003,8120105,262273631180,32299,1732
Austria,AUT2004,8171215,301457562039,36893,1956
Austria,AUT2005,8227034,316092273276,38421,2017
Austria,AUT2006,8267771,336280064332,40674,2126
Austria,AUT2007,8294720,389185571506,46920,2415
Austria,AUT2008,8321134,432051935643,51922,2733
Austria,AUT2009,8342939,401758735822,48156,2759
Austria,AUT2010,8362829,392275107259,46907,2674
Austria,AUT2011,8391201,431685217368,51445,2877
Austria,AUT2012,8429641,409401816051,48567,2662
Austria,AUT2013,8479542,430190979706,50733,2814
Austria,AUT2014,8546066,442584815286,51788,2821
Austria,AUT2015,8642422,381971148531,44197,2412
Austria,AUT2016,8736491,395837353031,45309,2483
Austria,AUT2017,8797497,417261151845,47430,2548
Austria,AUT2018,8840518,454991174096,51467,2690
